oln_id_a	oln_id_b	edge_type
YOR273C	YCR021C	ppi
YOR123C	YGL244W	ppi
YBL050W	YAL030W	ppi
YKL196C	YHL031C	ppi
YPL129W	YGR005C	ppi
YBR009C	YBL008W	ppi
YBR024W	Q0250	ppi
YNL298W	YBR200W	ppi
YBR160W	YBR135W	ppi
YBR200W	YAL041W	ppi
YCL061C	YAR002W	ppi
YCR077C	YBL026W	ppi
YCR077C	YBL026W	ppi
YCR077C	YBL026W	ppi
YCR084C	YBR112C	ppi
YDR057W	YDL126C	ppi
YDR110W	YDR026C	ppi
YDR122W	YAR014C	ppi
YDR138W	YBR279W	ppi
YDR145W	YBR198C	ppi
YDR166C	YBR102C	ppi
YDR167W	YDR145W	ppi
YDR176W	YBR081C	ppi
YDR176W	YBR081C	ppi
YDR192C	YDL207W	ppi
YDR224C	YBL052C	ppi
YDR224C	YBR010W	ppi
YDR244W	YDR142C	ppi
YDR238C	YDL192W	ppi
YDR297W	YBR106W	ppi
YDR320C-A	YDR201W	ppi
YDR356W	YBR109C	ppi
YDR381W	YAR002W	ppi
YDR439W	YCR086W	ppi
YDR484W	YDR027C	ppi
YDR510W	YDL013W	ppi
YEL002C	YDL145C	ppi
YDR510W	YDR368W	ppi
YEL032W	YBR202W	ppi
YEL037C	YDL190C	ppi
YEL037C	YDR427W	ppi
YER013W	YDR416W	ppi
YER022W	YDL005C	ppi
YER027C	YDR477W	ppi
YER047C	YDR510W	ppi
YER133W	YAR014C	ppi
YER133W	YDR130C	ppi
YER146W	YDR378C	ppi
YER148W	YBR198C	ppi
YER165W	YDR172W	ppi
YER165W	YDR228C	ppi
YFL018C	YDR148C	ppi
YFL029C	YBR160W	ppi
YFL041W	YBR207W	ppi
YFR002W	YDR381W	ppi
YFR024C-A	YCR030C	ppi
YFR050C	YBR270C	ppi
YFR051C	YDL145C	ppi
YGL003C	YDL155W	ppi
YGL043W	YDL140C	ppi
YGL048C	YBR272C	ppi
YGL048C	YEL037C	ppi
YGL058W	YCR066W	ppi
YGL066W	YDR448W	ppi
YGL100W	YGL092W	ppi
YGL112C	YDR167W	ppi
YGL112C	YBR198C	ppi
YGL112C	YDR448W	ppi
YGL181W	YDR135C	ppi
YGL195W	YDR152W	ppi
YGL198W	YFL038C	ppi
YGL240W	YFR036W	ppi
YGL241W	YER148W	ppi
YGR009C	YAL030W	ppi
YGR009C	YAL030W	ppi
YGL240W	YDR118W	ppi
YGR075C	YBR152W	ppi
YGR077C	YDR244W	ppi
YGR098C	YDR113C	ppi
YGR104C	YBL093C	ppi
YGR104C	YDL140C	ppi
YGR104C	YER022W	ppi
YGR113W	YDR016C	ppi
YGR119C	YFR002W	ppi
YGR120C	YGL223C	ppi
YGR128C	YDR324C	ppi
YGR166W	YDR472W	ppi
YGR166W	YBR254C	ppi
YGR166W	YDR407C	ppi
YGR186W	YDL140C	ppi
YHL007C	YBR200W	ppi
YGR252W	YBR081C	ppi
YGR252W	YBR081C	ppi
YGR252W	YCL010C	ppi
YGR252W	YER164W	ppi
YHL002W	YGR268C	ppi
YGR281W	YER020W	ppi
YHL019C	YFL034W	ppi
YHL024W	YER125W	ppi
YHL025W	YDR073W	ppi
YHR027C	YEL037C	ppi
YHR025W	YDR510W	ppi
YHR027C	YEL037C	ppi
YHR027C	YGL048C	ppi
YHR030C	YGR252W	ppi
YHR042W	YHL007C	ppi
YHR069C	YCR035C	ppi
YHR084W	YDR480W	ppi
YHR090C	YFL024C	ppi
YHR119W	YBR175W	ppi
YHR135C	YGR281W	ppi
YHR164C	YHR122W	ppi
YHR158C	YGR238C	ppi
YHR166C	YBL084C	ppi
YHR166C	YFR036W	ppi
YHR171W	YBR217W	ppi
YHR188C	YDR331W	ppi
YHR195W	YEL013W	ppi
YHR206W	YDL235C	ppi
YIL021W	YDL115C	ppi
YIL035C	YGL019W	ppi
YIL035C	YGL019W	ppi
YIL095W	YCR088W	ppi
YIL112W	YDR155C	ppi
YIL115C	YER107C	ppi
YIL138C	YBR130C	ppi
YIL149C	YBR109C	ppi
YIR003W	YIL034C	ppi
YJL013C	YGL116W	ppi
YIR010W	YDR532C	ppi
YJL002C	YDL232W	ppi
YJL020C	YHR182W	ppi
YJL036W	YDL113C	ppi
YJL048C	YDL126C	ppi
YJL061W	YJL041W	ppi
YJL061W	YJL041W	ppi
YJL074C	YFL008W	ppi
YJL080C	YHR005C	ppi
YJL115W	YBR010W	ppi
YJL124C	YBL026W	ppi
YJL140W	YDR404C	ppi
YJL154C	YJL053W	ppi
YJL187C	YBR133C	ppi
YJR002W	YDL153C	ppi
YJR032W	YBR155W	ppi
YJR043C	YBR088C	ppi
YJR045C	YFL016C	ppi
YJR050W	YDL209C	ppi
YJR045C	YJL143W	ppi
YJR074W	YIL147C	ppi
YJR104C	YDR510W	ppi
YKL010C	YBR082C	ppi
YKL016C	YBL099W	ppi
YKL018W	YER133W	ppi
YKL038W	YBR193C	ppi
YKL057C	YJR042W	ppi
YKL068W	YGR119C	ppi
YKL101W	YBR133C	ppi
YKL117W	YCR024C	ppi
YKL122C	YDL092W	ppi
YKL138C-A	YGR113W	ppi
YKL145W	YHR027C	ppi
YKL172W	YFR001W	ppi
YKL166C	YIL033C	ppi
YKL173W	YHR165C	ppi
YKL173W	YHR165C	ppi
YKL181W	YHL011C	ppi
YKL193C	YER133W	ppi
YKR022C	YER172C	ppi
YKR048C	YBL002W	ppi
YKR048C	YGR040W	ppi
YKR068C	YDR246W	ppi
YKR081C	YGR103W	ppi
YKR081C	YHR052W	ppi
YKR095W	YGL122C	ppi
YLL024C	YIL149C	ppi
YLL024C	YKL068W	ppi
YLL036C	YDL209C	ppi
YLL036C	YDR416W	ppi
YLL036C	YDR482C	ppi
YLL039C	YBR023C	ppi
YLL039C	YDL190C	ppi
YLL039C	YDL190C	ppi
YLL039C	YEL037C	ppi
YLL039C	YDR440W	ppi
YLL039C	YEL037C	ppi
YLL039C	YER162C	ppi
YLR006C	YDL235C	ppi
YLR015W	YDL140C	ppi
YLR026C	YKL196C	ppi
YLR055C	YDR167W	ppi
YLR055C	YHR099W	ppi
YLR071C	YHR058C	ppi
YLR079W	YDR328C	ppi
YLR127C	YFR036W	ppi
YLR127C	YFR036W	ppi
YLR135W	YBR228W	ppi
YLR191W	YDL065C	ppi
YLR166C	YAR002W	ppi
YLR191W	YGL153W	ppi
YLR332W	YCR030C	ppi
YLR212C	YHR172W	ppi
YLR208W	YKL057C	ppi
YLR229C	YJL157C	ppi
YLR268W	YGL145W	ppi
YLR285W	YLR053C	ppi
YLR291C	YER023W	ppi
YLR293C	YGR218W	ppi
YLR319C	YLL021W	ppi
YLR337C	YBL007C	ppi
YLR337C	YDL029W	ppi
YLR338W	YER021W	ppi
YLR340W	YDL081C	ppi
YLR370C	YBR234C	ppi
YLR384C	YHR187W	ppi
YLR396C	YLR148W	ppi
YLR409C	YJL069C	ppi
YLR430W	YDL140C	ppi
YLR438C-A	YGL173C	ppi
YLR442C	YDR227W	ppi
YLR447C	YKL029C	ppi
YML010W	YGL207W	ppi
YML016C	YKL088W	ppi
YML057W	YBR109C	ppi
YML065W	YLL004W	ppi
YML069W	YER164W	ppi
YML112W	YJL006C	ppi
YML109W	YDL220C	ppi
YML126C	YDR510W	ppi
YMR001C	YJR053W	ppi
YMR005W	YGR274C	ppi
YMR015C	YGR060W	ppi
YMR032W	YDL117W	ppi
YMR039C	YKL117W	ppi
YMR058W	YER145C	ppi
YMR061W	YDR228C	ppi
YMR076C	YIL026C	ppi
YMR080C	YGR072W	ppi
YMR080C	YHR170W	ppi
YMR108W	YCL009C	ppi
YMR109W	YJL020C	ppi
YMR117C	YDR486C	ppi
YMR139W	YDR207C	ppi
YMR140W	YDR092W	ppi
YMR149W	YEL002C	ppi
YMR159C	YBR217W	ppi
YMR159C	YBR217W	ppi
YMR182C	YMR109W	ppi
YMR167W	YDR097C	ppi
YMR190C	YBR114W	ppi
YMR197C	YDR468C	ppi
YMR202W	YER044C	ppi
YMR203W	YHR083W	ppi
YMR213W	YLL036C	ppi
YMR218C	YDR472W	ppi
YMR233W	YDR510W	ppi
YMR218C	YML077W	ppi
YMR227C	YGR274C	ppi
YMR231W	YLR396C	ppi
YMR236W	YHR099W	ppi
YMR237W	YKR027W	ppi
YMR273C	YMR255W	ppi
YMR276W	YIL148W	ppi
YMR309C	YBR079C	ppi
YMR309C	YMR146C	ppi
YMR311C	YER133W	ppi
YMR314W	YER012W	ppi
YNL047C	YLR433C	ppi
YNL053W	YGR040W	ppi
YNL053W	YBL016W	ppi
YNL064C	YAL005C	ppi
YNL075W	YDL220C	ppi
YNL102W	YDL220C	ppi
YNL103W	YIL046W	ppi
YNL107W	YJR082C	ppi
YNL118C	YMR080C	ppi
YNL121C	YMR203W	ppi
YNL131W	YNL121C	ppi
YNL135C	YDR174W	ppi
YNL131W	YMR203W	ppi
YNL138W	YJL005W	ppi
YNL153C	YGR078C	ppi
YNL172W	YKL022C	ppi
YNL167C	YLR113W	ppi
YNL189W	YKL068W	ppi
YNL189W	YMR239C	ppi
YNL214W	YGL153W	ppi
YNL223W	YBL078C	ppi
YNL238W	YBL007C	ppi
YNL234W	YBR274W	ppi
YNL250W	YMR224C	ppi
YNL262W	YIR008C	ppi
YNL255C	YER112W	ppi
YNL261W	YBR060C	ppi
YNL263C	YFL038C	ppi
YNL283C	YGL077C	ppi
YNL290W	YMR078C	ppi
YNL298W	YLR229C	ppi
YNL307C	YGR140W	ppi
YNL308C	YCL059C	ppi
YNL311C	YDR328C	ppi
YNL317W	YMR061W	ppi
YNL329C	YGL153W	ppi
YNL330C	YBR112C	ppi
YNR017W	YHR005C-A	ppi
YNR017W	YIL022W	ppi
YNR017W	YJL143W	ppi
YNR017W	YML054C	ppi
YNR031C	YJL128C	ppi
YNR035C	YBR234C	ppi
YNR035C	YJR065C	ppi
YNR046W	YDR140W	ppi
YOL012C	YNL030W	ppi
YOL021C	YNL232W	ppi
YOL034W	YDL105W	ppi
YOL021C	YDR280W	ppi
YOL051W	YBL093C	ppi
YOL051W	YGL025C	ppi
YOL061W	YER099C	ppi
YOL051W	YNL236W	ppi
YOL069W	YBR211C	ppi
YOL069W	YER018C	ppi
YOL115W	YNL251C	ppi
YOL127W	YHR197W	ppi
YOL133W	YDL132W	ppi
YOL133W	YFL009W	ppi
YOL135C	YOL051W	ppi
YOL145C	YGL207W	ppi
YOL145C	YLR418C	ppi
YOL148C	YDR448W	ppi
YOR007C	YBR137W	ppi
YOR007C	YOL111C	ppi
YOR038C	YBL008W	ppi
YOR043W	YLL010C	ppi
YOR057W	YDL132W	ppi
YOR039W	YIL035C	ppi
YOR069W	YJL053W	ppi
YOR080W	YBL023C	ppi
YOR098C	YGL016W	ppi
YOR106W	YLR148W	ppi
YOR122C	YNL271C	ppi
YOR132W	YJL053W	ppi
YOR157C	YBL041W	ppi
YOR157C	YJL001W	ppi
YOR153W	YDR011W	ppi
YOR178C	YER133W	ppi
YOR181W	YBL007C	ppi
YOR181W	YDR388W	ppi
YOR181W	YFL039C	ppi
YOR181W	YFL039C	ppi
YOR181W	YLR337C	ppi
YOR181W	YLR337C	ppi
YOR194C	YGL016W	ppi
YOR204W	YDL160C	ppi
YOR232W	YIL022W	ppi
YOR232W	YJR045C	ppi
YOR244W	YFL024C	ppi
YOR244W	YHR099W	ppi
YOR249C	YBL084C	ppi
YOR244W	YJL081C	ppi
YOR254C	YLR378C	ppi
YOR269W	YLR254C	ppi
YOR270C	YEL051W	ppi
YOR290C	YOR038C	ppi
YOR297C	YJL054W	ppi
YOR310C	YDR299W	ppi
YOR316C	YJL178C	ppi
YOR324C	YLR433C	ppi
YOR326W	YFL005W	ppi
YOR327C	YGR009C	ppi
YOR341W	YOR224C	ppi
YOR361C	YBR079C	ppi
YOR362C	YGL011C	ppi
YOR370C	YFL038C	ppi
YPL002C	YJR102C	ppi
YPL008W	YFR027W	ppi
YPL018W	YBR107C	ppi
YPL018W	YGR179C	ppi
YPL022W	YML095C	ppi
YPL024W	YLR234W	ppi
YPL037C	YHR193C	ppi
YPL042C	YER022W	ppi
YPL031C	YOL001W	ppi
YPL049C	YBL016W	ppi
YPL049C	YDR480W	ppi
YPL050C	YEL036C	ppi
YPL050C	YML115C	ppi
YPL065W	YGR206W	ppi
YPL066W	YLR425W	ppi
YPL078C	YJR121W	ppi
YPL086C	YHR187W	ppi
YPL120W	YBR128C	ppi
YPL124W	YKL042W	ppi
YPL125W	YHR088W	ppi
YPL129W	YGR186W	ppi
YPL127C	YBR010W	ppi
YPL139C	YOL004W	ppi
YPL151C	YLR117C	ppi
YPL149W	YBR217W	ppi
YPL169C	YDR138W	ppi
YPL174C	YEL003W	ppi
YPL181W	YOL004W	ppi
YPL186C	YBL039W-B	ppi
YPL194W	YLR288C	ppi
YPL195W	YJL024C	ppi
YPL204W	YER106W	ppi
YPL209C	YBR156C	ppi
YPL208W	YDR361C	ppi
YPL210C	YDL092W	ppi
YPL248C	YHR099W	ppi
YPL217C	YBL004W	ppi
YPL217C	YMR047C	ppi
YPL219W	YPL031C	ppi
YPL235W	YDR190C	ppi
YPL231W	YKL182W	ppi
YPL240C	YIR042C	ppi
YPL240C	YLR310C	ppi
YPL240C	YIR042C	ppi
YPL249C-A	YDR388W	ppi
YPL254W	YDR392W	ppi
YPL254W	YGR252W	ppi
YPL256C	YDR328C	ppi
YPL267W	YER177W	ppi
YPL269W	YOR326W	ppi
YPR010C	YBR154C	ppi
YPR016C	YGL099W	ppi
YPR016C	YMR049C	ppi
YPL259C	YKL135C	ppi
YPR019W	YGL201C	ppi
YPR034W	YIL126W	ppi
YPR040W	YDL134C	ppi
YPR056W	YBR089C-A	ppi
YPR055W	YLR166C	ppi
YPR105C	YNL051W	ppi
YPR110C	YDR510W	ppi
YPR110C	YNL113W	ppi
YPR113W	YML012W	ppi
YPR119W	YBR160W	ppi
YPR119W	YJL041W	ppi
YPR119W	YKL068W	ppi
YPR135W	YNL102W	ppi
YPR135W	YNL102W	ppi
YPR141C	YBR160W	ppi
YPR141C	YPL253C	ppi
YPR165W	YLR342W	ppi
YPR171W	YBL007C	ppi
YPR171W	YCR088W	ppi
YPR173C	YER128W	ppi
YPR181C	YNL049C	ppi
YPR175W	YDR121W	ppi
YLR248W	YLR113W	ppi
YLR267W	YDL132W	ppi
YLR288C	YHR119W	ppi
YLR292C	YBR171W	ppi
YLR293C	YGL097W	ppi
YLR293C	YGL238W	ppi
YLR293C	YJR074W	ppi
YLR314C	YDR409W	ppi
YLR335W	YGL016W	ppi
YLR340W	YGL238W	ppi
YLR350W	YLL031C	ppi
YLR385C	YBR231C	ppi
YLR396C	YDR229W	ppi
YLR421C	YER012W	ppi
YLR431C	YDL149W	ppi
YLR450W	YLR207W	ppi
YML008C	YGL012W	ppi
YML013W	YDL126C	ppi
YML042W	YDR244W	ppi
YDR166C	YBR102C	ppi
YHR056C	YDR303C	ppi
YHR052W	YGR103W	ppi
YHR084W	YBL016W	ppi
YHR099W	YDR167W	ppi
YHR099W	YDR392W	ppi
YHR158C	YGR238C	ppi
YHR188C	YDR434W	ppi
YHR193C	YDR510W	ppi
YIL031W	YHR052W	ppi
YIL033C	YER133W	ppi
YIL043C	YHL007C	ppi
YIL075C	YEL037C	ppi
YIL075C	YER012W	ppi
YIL108W	YGR136W	ppi
YIL106W	YGR092W	ppi
YIL153W	YDL047W	ppi
YBR010W	YBR009C	ppi
YIR006C	YGL094C	ppi
YIR026C	YBR267W	ppi
YJL019W	YFR027W	ppi
YJL030W	YGL116W	ppi
YML064C	YAR019C	ppi
YML065W	YHR118C	ppi
YML065W	YJL194W	ppi
YML071C	YGL223C	ppi
YML085C	YLR045C	ppi
YML092C	YGL011C	ppi
YML103C	YFR002W	ppi
YML119W	YLL032C	ppi
YML121W	YKR007W	ppi
YML127W	YFR037C	ppi
YMR005W	YBR198C	ppi
YMR026C	YLR191W	ppi
YMR032W	YDL117W	ppi
YMR047C	YER107C	ppi
YMR055C	YHR061C	ppi
YMR055C	YJR053W	ppi
YMR061W	YER165W	ppi
YMR089C	YER017C	ppi
YMR092C	YFL039C	ppi
YMR096W	YMR095C	ppi
YMR105C	YML058W-A	ppi
YMR109W	YLR337C	ppi
YMR117C	YCL032W	ppi
YMR149W	YEL002C	ppi
YMR167W	YCR092C	ppi
YMR172W	YLR113W	ppi
YJL069C	YCR057C	ppi
YJL074C	YDL003W	ppi
YJL081C	YFL039C	ppi
YJL081C	YBR009C	ppi
YJL085W	YDR166C	ppi
YJL085W	YER008C	ppi
YJL124C	YGL173C	ppi
YJL128C	YDL006W	ppi
YJL141C	YER177W	ppi
YJL164C	YIL033C	ppi
YJL166W	Q0105	ppi
YJL194W	YJL020C	ppi
YJR049C	YEL041W	ppi
YJR065C	YDL029W	ppi
YJR104C	YDR510W	ppi
YKL025C	YER165W	ppi
YKL025C	YDL101C	ppi
YKL042W	YDR356W	ppi
YKL052C	YBR233W-A	ppi
YKL052C	YFR028C	ppi
YKL068W	YDR395W	ppi
YKL122C	YDL092W	ppi
YKL129C	YJL020C	ppi
YBL045C	Q0105	ppi
YBR010W	YBR009C	ppi
YBR123C	YAL001C	ppi
YBR160W	YAL040C	ppi
YBR177C	YBR041W	ppi
YMR190C	YBR114W	ppi
YMR190C	YLR234W	ppi
YMR197C	YKL196C	ppi
YMR218C	YBR254C	ppi
YMR229C	YLL011W	ppi
YMR236W	YGR252W	ppi
YMR255W	YDL207W	ppi
YMR294W	YHR129C	ppi
YMR294W	YHR129C	ppi
YMR307W	YAL053W	ppi
YMR309C	YBR079C	ppi
YMR312W	YLR384C	ppi
YNL006W	YJL058C	ppi
YNL026W	YHR083W	ppi
YNL030W	YDR224C	ppi
YNL031C	YER169W	ppi
YNL031C	YLL022C	ppi
YNL051W	YGL005C	ppi
YNL070W	YMR203W	ppi
YNL078W	YDR510W	ppi
YNL082W	YCR092C	ppi
YNL086W	YEL005C	ppi
YNL093W	YKR014C	ppi
YNL112W	YGL120C	ppi
YNL118C	YLR438C-A	ppi
YNL118C	YEL015W	ppi
YNL131W	YGR082W	ppi
YNL131W	YMR203W	ppi
YNL147W	YCR077C	ppi
YNL147W	YER146W	ppi
YNL180C	YDR353W	ppi
YNL189W	YLR335W	ppi
YNL189W	YLR335W	ppi
YNL214W	YLR191W	ppi
YNL216W	YDR227W	ppi
YNL225C	YKL042W	ppi
YNL238W	YBL007C	ppi
YNL244C	YBR079C	ppi
YNL253W	YFR050C	ppi
YNL261W	YBR060C	ppi
YNL258C	YLR440C	ppi
YNL272C	YHR023W	ppi
YNL288W	YER068W	ppi
YNL298W	YCR088W	ppi
YNL298W	YLR229C	ppi
YNL307C	YAL038W	ppi
YNL317W	YLR277C	ppi
YNL317W	YLR277C	ppi
YNL330C	YLR113W	ppi
YNR006W	YHL002W	ppi
YNR023W	YDL042C	ppi
YNR037C	YHL004W	ppi
YNR052C	YIL038C	ppi
YOL012C	YDR224C	ppi
YOL012C	YJL019W	ppi
YOL016C	YBR109C	ppi
YOL016C	YBR109C	ppi
YOL018C	YMR197C	ppi
YOL021C	YGR195W	ppi
YOL021C	YHR069C	ppi
YOL041C	YKL172W	ppi
YOL061W	YBL068W	ppi
YOL077C	YER002W	ppi
YOL111C	YDL100C	ppi
YOL115W	YNL262W	ppi
YOL130W	YFL050C	ppi
YOL139C	YGR162W	ppi
YOL139C	YGR252W	ppi
YOL147C	YDL065C	ppi
YOL147C	YLR191W	ppi
YOR033C	YOL090W	ppi
YOR039W	YGL019W	ppi
YOR061W	YGL019W	ppi
YOR064C	YJR082C	ppi
YOR080W	YBL023C	ppi
YOR085W	YDL232W	ppi
YOR116C	YBR154C	ppi
YOR151C	YDL140C	ppi
YOR151C	YDL140C	ppi
YOR151C	YHR143W-A	ppi
YOR164C	YDL100C	ppi
YOR174W	YOL051W	ppi
YOR181W	YDR129C	ppi
YOR181W	YIL034C	ppi
YOR181W	YHR016C	ppi
YOR224C	YDL140C	ppi
YOR244W	YJL115W	ppi
YOR261C	YDL097C	ppi
YOR261C	YGL004C	ppi
YOR294W	YKL172W	ppi
YOR297C	YBR091C	ppi
YOR299W	YMR237W	ppi
YOR310C	YJR151W-A	ppi
YOR316C	YBR207W	ppi
YOR327C	YOL018C	ppi
YOR329C	YNL084C	ppi
YOR361C	YMR146C	ppi
YOR368W	YLR288C	ppi
YPL008W	YBR060C	ppi
YPL011C	YCR042C	ppi
YPL042C	YDR477W	ppi
YPL050C	YEL036C	ppi
YPL075W	YNL199C	ppi
YPL093W	YGL111W	ppi
YPL096W	YEL037C	ppi
YPL129W	YGL150C	ppi
YPL135W	YGL018C	ppi
YPL135W	YLR369W	ppi
YPL138C	YBR060C	ppi
YPL153C	YDL101C	ppi
YPL153C	YDR217C	ppi
YPL156C	YHR034C	ppi
YPL161C	YNL090W	ppi
YPL186C	YBL039W-B	ppi
YPL195W	YGR261C	ppi
YPL204W	YLR182W	ppi
YPL209C	YBR156C	ppi
YPL233W	YKL089W	ppi
YPL235W	YGL167C	ppi
YPL237W	YJR007W	ppi
YPL240C	YDL246C	ppi
YPL240C	YIL143C	ppi
YPL240C	YLR310C	ppi
YPL248C	YER022W	ppi
YPL254W	YGL112C	ppi
YPL256C	YBR135W	ppi
YPL256C	YBR160W	ppi
YPL256C	YBR160W	ppi
YPL263C	YOR145C	ppi
YPL269W	YER016W	ppi
YPR010C	YBR136W	ppi
YPR016C	YHR170W	ppi
YPR018W	YOR195W	ppi
YPR036W	YOR270C	ppi
YPR041W	YOR361C	ppi
YPR055W	YHR016C	ppi
YPR072W	YML098W	ppi
YPR091C	YFR024C-A	ppi
YPR102C	YOR294W	ppi
YPR103W	YFR050C	ppi
YPR107C	YLR115W	ppi
YPR108W	YFR004W	ppi
YPR108W	YFR052W	ppi
YPR119W	YBR160W	ppi
YPR141C	YPL253C	ppi
YPR162C	YBR060C	ppi
YPR168W	YOL051W	ppi
YPR171W	YBL085W	ppi
YPR181C	YIL109C	ppi
YPR181C	YIL109C	ppi
YBL030C	Q0250	ppi
YBL045C	Q0045	ppi
YBL045C	Q0045	ppi
YBL045C	Q0045	ppi
YBL045C	Q0105	ppi
YBL045C	Q0105	ppi
YBL045C	Q0250	ppi
YBL045C	Q0250	ppi
YBL045C	Q0250	ppi
YBL045C	Q0250	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL045C	YBL030C	ppi
YBL046W	YBL003C	ppi
YBL046W	YBL003C	ppi
YBL046W	YBL003C	ppi
YBL046W	YBL003C	ppi
YBL050W	YAL030W	ppi
YBL071W-A	YAL020C	ppi
YBL071W-A	YAL020C	ppi
YBL071W-A	YAL020C	ppi
YBL071W-A	YAL020C	ppi
YBL071W-A	YAL020C	ppi
YBL071W-A	YAL020C	ppi
YBL075C	YAL005C	ppi
YBL075C	YAL005C	ppi
YBL078C	YBL058W	ppi
YBL078C	YBL058W	ppi
YBL085W	YAL041W	ppi
YBL085W	YAL041W	ppi
YBL085W	YAL041W	ppi
YBL085W	YAL041W	ppi
YBL097W	YAL024C	ppi
YBL097W	YAL024C	ppi
YOR133W	YLR153C	ppi
YBL097W	YAL024C	ppi
YBL097W	YAL024C	ppi
YBL099W	Q0080	ppi
YBL099W	Q0080	ppi
YBL099W	Q0085	ppi
YBL099W	Q0085	ppi
YBL099W	Q0085	ppi
YBL099W	Q0085	ppi
YBL099W	Q0130	ppi
YBL099W	Q0130	ppi
Q0085	Q0080	ppi
Q0085	Q0080	ppi
Q0250	Q0045	ppi
Q0250	Q0045	ppi
Q0250	Q0045	ppi
Q0250	Q0045	ppi
Q0250	Q0105	ppi
Q0250	Q0105	ppi
Q0275	Q0045	ppi
Q0275	Q0045	ppi
Q0275	Q0045	ppi
Q0275	Q0045	ppi
snR6	LSR1	ppi
snR6	LSR1	ppi
YAL030W	YAL014C	ppi
YAL030W	YAL014C	ppi
YAL033W	NME1	ppi
YAL033W	NME1	ppi
YAL036C	YAL005C	ppi
YAL036C	YAL005C	ppi
YAL061W	YAL060W	ppi
YAL061W	YAL060W	ppi
YAL061W	YAL060W	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002C-A	YAL007C	ppi
YAR002W	YAL005C	ppi
YAR002W	YAL005C	ppi
YAR002W	YAL005C	ppi
YBR130C	YAL029C	ppi
YBR211C	YBR107C	ppi
YBR195C	YBL085W	ppi
YDL147W	YDL097C	ppi
YDL182W	YDL131W	ppi
YDR057W	YBR201W	ppi
YDR099W	YDR001C	ppi
YDR176W	YDR167W	ppi
YDR201W	YDR016C	ppi
YDR238C	YDL145C	ppi
YDR260C	YBL084C	ppi
YDR297W	YBR106W	ppi
YDR362C	YBR123C	ppi
YDR448W	YDR176W	ppi
YDR482C	YAL032C	ppi
YER013W	YAL032C	ppi
YER032W	YBL085W	ppi
YER094C	YER012W	ppi
YER120W	YDR510W	ppi
YER127W	YDR299W	ppi
YER133W	YBL007C	ppi
YER146W	YDR378C	ppi
YER148W	YDR145W	ppi
YER177W	YDR130C	ppi
YFL023W	YER133W	ppi
YFR010W	YDL007W	ppi
YFR028C	YDL042C	ppi
YFR050C	YER016W	ppi
YGL006W	YDL123W	ppi
YGL012W	YGL001C	ppi
YGL048C	YEL037C	ppi
YGL061C	YDR016C	ppi
YGL070C	YDL140C	ppi
YGL077C	YDL222C	ppi
YGL112C	YBR198C	ppi
YGL112C	YDR167W	ppi
YGL112C	YER148W	ppi
YGL112C	YDR448W	ppi
YGL115W	YDR477W	ppi
YGL190C	YDL134C	ppi
YGL241W	YDR225W	ppi
YGR005C	YDL140C	ppi
YGR081C	YBR247C	ppi
YGR092W	YBR118W	ppi
YGR156W	YDR301W	ppi
YGR163W	YBR077C	ppi
YGR163W	YCR015C	ppi
YGR195W	YCR035C	ppi
YGR203W	YGR163W	ppi
YGR252W	YDR225W	ppi
YHR005C-A	YEL020W-A	ppi
YHR058C	YDL140C	ppi
YHR110W	YGR284C	ppi
YHR160C	YDR142C	ppi
YHR172W	YDR356W	ppi
YIL061C	YER172C	ppi
YIL075C	YEL037C	ppi
YJL041W	YDR159W	ppi
YJL061W	YIL115C	ppi
YJL081C	YBR231C	ppi
YJL081C	YGR002C	ppi
YJL095W	YDL006W	ppi
YJL149W	YDL132W	ppi
YJL173C	YAR007C	ppi
YJR005W	YBL037W	ppi
YJR012C	YDR142C	ppi
YJR083C	YFR024C-A	ppi
YJR072C	YBR154C	ppi
YJR093C	YAL043C	ppi
YJR109C	YJL130C	ppi
YKL057C	YJR042W	ppi
YKL095W	YDR416W	ppi
YKL108W	YJL090C	ppi
YKL144C	YJL011C	ppi
YKL177W	YGR208W	ppi
YKL203C	YER133W	ppi
YKR007W	YGR163W	ppi
YKR068C	YBR254C	ppi
YLL022C	YBR010W	ppi
YLL039C	YDR054C	ppi
YLL041C	YKL148C	ppi
YLR008C	YJL104W	ppi
YLR015W	YHR119W	ppi
YLR026C	YBL050W	ppi
YLR055C	YGR252W	ppi
YLR071C	YDL140C	ppi
YPR152C	YLL036C	ppi
YLR079W	YBR160W	ppi
YLR079W	YFL009W	ppi
YLR127C	YDL008W	ppi
YLR135W	YBR228W	ppi
YLR175W	YDL208W	ppi
YLR182W	YHR030C	ppi
YLR200W	YAL005C	ppi
YLR218C	YGR033C	ppi
YLR268W	YDR498C	ppi
YBR010W	YBR009C	ppi
YLR347C	YAR002W	ppi
YLR378C	YDR086C	ppi
